,target,synset,pos,t,prov,comments,explanation,synset_def,synset_size,synset_words,wn_pos,gold_Astrid,gold_Jacco,gold,counts_0,counts_1
1,aeroplane,airplane.n.01,n,1905,WSE,new sense,introduction of airoplane,an aircraft that has a fixed wing and is powered by propellers or jets,3,"['airplane', 'aeroplane', 'plane']",n,0,0,0,1,0
2,aeroplane,airplane.n.01,n,1919,WSE,broadened sense,type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia,an aircraft that has a fixed wing and is powered by propellers or jets,3,"['airplane', 'aeroplane', 'plane']",n,0,0,0,1,0
3,aeroplane,airplane.n.01,n,1914,WSE,broadened sense,used as a weapon first time,an aircraft that has a fixed wing and is powered by propellers or jets,3,"['airplane', 'aeroplane', 'plane']",n,0,0,0,1,0
4,automobile,car.n.01,n,1886,WSE,new sense,introduction of the modern automobile,a motor vehicle with four wheels usually propelled by an internal combustion engine,5,"['car', 'auto', 'automobile', 'machine', 'motorcar']",n,0,0,0,1,0
5,bitch,bitch.n.01,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",an unpleasant difficulty,1,['bitch'],n,0,0,0,1,0
6,bitch,bitch.n.04,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",female of any member of the dog family,1,['bitch'],n,0,0,0,1,0
7,bitch,cunt.n.01,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",a person usually but not necessarily a woman who is thoroughly disliked,2,"['cunt', 'bitch']",n,1,1,1,0,1
8,bitch,gripe.n.01,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly.",informal terms for objecting,5,"['gripe', 'kick', 'beef', 'bitch', 'squawk']",n,0,0,0,1,0
9,camera,camera.n.01,n,1826,WSE,new related sense,The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce,equipment for taking photographs usually consisting of a lightproof box with a lens at one end and lightsensitive film at the other,2,"['camera', 'photographic_camera']",n,0,1,1,0,1
10,camera,camera.n.01,n,1975,WSE,broadened sense,digital camera,equipment for taking photographs usually consisting of a lightproof box with a lens at one end and lightsensitive film at the other,2,"['camera', 'photographic_camera']",n,0,0,0,1,0
11,camera,television_camera.n.01,n,1975,WSE,broadened sense,digital camera,television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam,3,"['television_camera', 'tv_camera', 'camera']",n,0,0,0,1,0
12,camera,television_camera.n.01,n,1826,WSE,new related sense,The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce,television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam,3,"['television_camera', 'tv_camera', 'camera']",n,0,0,0,1,0
13,car,cable_car.n.01,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",a conveyance for passengers or freight on a cable railway,2,"['cable_car', 'car']",n,0,0,0,1,0
14,car,car.n.01,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",a motor vehicle with four wheels usually propelled by an internal combustion engine,5,"['car', 'auto', 'automobile', 'machine', 'motorcar']",n,1,1,1,0,1
15,car,car.n.02,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",a wheeled vehicle adapted to the rails of railroad,4,"['car', 'railcar', 'railway_car', 'railroad_car']",n,0,0,0,1,0
16,car,car.n.03,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,2,"['car', 'gondola']",n,0,0,0,1,0
17,car,car.n.04,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile",where passengers ride up and down,2,"['car', 'elevator_car']",n,0,0,0,1,0
18,cinema,cinema.n.02,n,1900,WSE,new sense,,a theater where films are shown,5,"['cinema', 'movie_theater', 'movie_theatre', 'movie_house', 'picture_palace']",n,0,0,0,1,0
19,cinema,film.n.02,n,1900,WSE,new sense,,a medium that disseminates moving pictures,3,"['film', 'cinema', 'celluloid']",n,0,0,0,1,0
20,computer,calculator.n.01,n,1990,WSE,broadened sense,personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html,an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
21,computer,calculator.n.01,n,1960,WSE,broadened sense,"computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event",an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
22,computer,calculator.n.01,n,1970,WSE,broadened sense,computers used for word processing: http://www.bbc.com/news/magazine-23509153,an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
23,computer,calculator.n.01,n,1940,WSE,new sense,"The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s.",an expert at calculation or at operating calculating machines,5,"['calculator', 'reckoner', 'figurer', 'estimator', 'computer']",n,0,0,0,1,0
24,computer,computer.n.01,n,1990,WSE,broadened sense,personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html,a machine for performing calculations automatically,6,"['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']",n,0,0,0,1,0
25,computer,computer.n.01,n,1970,WSE,broadened sense,computers used for word processing: http://www.bbc.com/news/magazine-23509153,a machine for performing calculations automatically,6,"['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']",n,0,0,0,1,0
26,computer,computer.n.01,n,1940,WSE,new sense,"The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s.",a machine for performing calculations automatically,6,"['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']",n,0,1,1,0,1
27,computer,computer.n.01,n,1960,WSE,broadened sense,"computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event",a machine for performing calculations automatically,6,"['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']",n,0,1,1,0,1
28,cool,cool.a.01,adj,1964,WSE,new related sense,a way of being,neither warm nor very cold giving relief from heat,1,['cool'],a,0,0,0,1,0
29,cool,cool.a.03,adj,1964,WSE,new related sense,a way of being,color inducing the impression of coolness used especially of greens and blues and violets,1,['cool'],a,0,0,0,1,0
30,cool,cool.a.04,adj,1964,WSE,new related sense,a way of being,psychologically cool and unenthusiastic unfriendly or unresponsive or showing dislike,1,['cool'],a,0,1,0,1,0
31,cool,cool.s.02,adj,1964,WSE,new related sense,a way of being,marked by calm selfcontrol especially in trying circumstances unemotional,3,"['cool', 'coolheaded', 'nerveless']",s,1,1,1,0,1
32,cool,cool.s.05,adj,1964,WSE,new related sense,a way of being,used of a number or sum without exaggeration or qualification,1,['cool'],s,0,0,0,1,0
33,cool,cool.s.06,adj,1964,WSE,new related sense,a way of being,fashionable and attractive at the time often skilled or socially adept,1,['cool'],s,1,1,1,0,1
34,flight,escape.n.01,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,the act of escaping physically,2,"['escape', 'flight']",n,0,0,0,1,0
35,flight,flight.n.01,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,a formation of aircraft in flight,1,['flight'],n,0,0,0,1,0
36,flight,flight.n.02,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,an instance of traveling by air,2,"['flight', 'flying']",n,1,1,1,0,1
37,flight,flight.n.03,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,a stairway set of steps between one floor or landing and the next,3,"['flight', 'flight_of_stairs', 'flight_of_steps']",n,0,0,0,1,0
38,flight,flight.n.05,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,an air force unit smaller than a squadron,1,['flight'],n,0,0,0,1,0
39,flight,flight.n.06,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,passing above and beyond ordinary bounds,1,['flight'],n,0,0,0,1,0
40,flight,flight.n.08,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,a flock of flying birds,1,['flight'],n,0,0,0,1,0
41,flight,flight.n.09,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,a scheduled trip by plane between designated airports,1,['flight'],n,1,1,1,0,1
42,flight,trajectory.n.01,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly,the path followed by an object moving through space,2,"['trajectory', 'flight']",n,0,0,0,1,0
43,gay,brave.s.03,adj,1985,WSE,new sense,Recommended for use instead of homosexual,brightly colored and showy,3,"['brave', 'braw', 'gay']",s,0,0,0,1,0
44,gay,cheery.s.01,adj,1985,WSE,new sense,Recommended for use instead of homosexual,bright and pleasant promoting a feeling of cheer,3,"['cheery', 'gay', 'sunny']",s,0,0,0,1,0
45,gay,gay.s.02,adj,1985,WSE,new sense,Recommended for use instead of homosexual,full of or showing highspirited merriment,6,"['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']",s,0,0,0,1,0
46,gay,gay.s.03,adj,1985,WSE,new sense,Recommended for use instead of homosexual,given to social pleasures often including dissipation,1,['gay'],s,0,0,0,1,0
47,gay,gay.s.05,adj,1985,WSE,new sense,Recommended for use instead of homosexual,offering fun and gaiety,4,"['gay', 'festal', 'festive', 'merry']",s,0,0,0,1,0
48,gay,gay.s.06,adj,1985,WSE,new sense,Recommended for use instead of homosexual,homosexual or arousing homosexual desires,3,"['gay', 'queer', 'homophile']",s,1,1,1,0,1
49,internet,internet.n.01,n,1995,WSE,broadened sense,"Used by common peopel ""The Internet was fully commercialized in the U.S. by 1995, …"" http://en.wikipedia.org/wiki/Internet#History *accept new path because no previous sense was found.",a computer network consisting of a worldwide network of computer networks that use the TCPIP network protocols to facilitate data transmission and exchange,3,"['internet', 'net', 'cyberspace']",n,1,1,1,0,1
50,internet,internet.n.01,n,1974,WSE,new sense,"...In December 1974, RFC 675 – Specification of Internet Transmission Control Program, by Vinton Cerf, Yogen Dalal, and Carl Sunshine, used the term internet as a shorthand for internetworking http://en.wikipedia.org/wiki/Internet#History",a computer network consisting of a worldwide network of computer networks that use the TCPIP network protocols to facilitate data transmission and exchange,3,"['internet', 'net', 'cyberspace']",n,0,0,0,1,0
51,mail,chain_mail.n.01,n,1990,WSE,broadened sense,"Electronic mail, most commonly referred to as email or e-mail since ca. 1993",Middle Ages flexible armor made of interlinked metal rings,7,"['chain_mail', 'ring_mail', 'mail', 'chain_armor', 'chain_armour', 'ring_armor', 'ring_armour']",n,0,0,0,1,0
52,mail,mail.n.01,n,1990,WSE,broadened sense,"Electronic mail, most commonly referred to as email or e-mail since ca. 1993",the bags of letters and packages that are transported by the postal service,1,['mail'],n,0,0,0,1,0
53,mail,mail.n.02,n,1990,WSE,broadened sense,"Electronic mail, most commonly referred to as email or e-mail since ca. 1993",the system whereby messages are transmitted via the post office,4,"['mail', 'mail_service', 'postal_service', 'post']",n,0,0,0,1,0
54,mail,mail.n.03,n,1990,WSE,broadened sense,"Electronic mail, most commonly referred to as email or e-mail since ca. 1993",a conveyance that transports the letters and packages that are conveyed by the postal system,1,['mail'],n,0,0,0,1,0
55,mail,mail.n.04,n,1990,WSE,broadened sense,"Electronic mail, most commonly referred to as email or e-mail since ca. 1993",any particular collection of letters or packages that is delivered,2,"['mail', 'post']",n,0,0,0,1,0
56,memory,memory.n.01,n,1960,WSE,new related sense,digital memory,something that is remembered,1,['memory'],n,0,0,0,1,0
57,memory,memory.n.02,n,1960,WSE,new related sense,digital memory,the cognitive processes whereby past experience is remembered,2,"['memory', 'remembering']",n,0,0,0,1,0
58,memory,memory.n.03,n,1960,WSE,new related sense,digital memory,the power of retaining and recalling past experience,4,"['memory', 'retention', 'retentiveness', 'retentivity']",n,0,0,0,1,0
59,memory,memory.n.04,n,1960,WSE,new related sense,digital memory,an electronic memory device,6,"['memory', 'computer_memory', 'storage', 'computer_storage', 'store', 'memory_board']",n,1,1,1,0,1
61,memory,memory.n.05,n,1960,WSE,new related sense,digital memory,the area of cognitive psychology that studies memory processes,1,['memory'],n,0,0,0,1,0
62,mouse,mouse.n.01,n,1965,WSE,new related sense,The computer mouse was introduced,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,1,['mouse'],n,0,0,0,1,0
63,mouse,mouse.n.03,n,1965,WSE,new related sense,The computer mouse was introduced,person who is quiet or timid,1,['mouse'],n,0,0,0,1,0
64,mouse,mouse.n.04,n,1965,WSE,new related sense,The computer mouse was introduced,a handoperated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad on the bottom of the device is a ball that rolls on the surface of the pad,2,"['mouse', 'computer_mouse']",n,1,1,1,0,1
65,mouse,shiner.n.01,n,1965,WSE,new related sense,The computer mouse was introduced,a swollen bruise caused by a blow to the eye,3,"['shiner', 'black_eye', 'mouse']",n,0,0,0,1,0
66,phone,earphone.n.01,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml",electroacoustic transducer for converting electric signals into sounds it is held over or inserted into the ear,4,"['earphone', 'earpiece', 'headphone', 'phone']",n,0,0,0,1,0
67,phone,earphone.n.01,n,1985,WSE,broadened sense,"mobile phone, a private device",electroacoustic transducer for converting electric signals into sounds it is held over or inserted into the ear,4,"['earphone', 'earpiece', 'headphone', 'phone']",n,0,0,0,1,0
68,phone,phone.n.02,n,1985,WSE,broadened sense,"mobile phone, a private device",phonetics an individual sound unit of speech without concern as to whether or not it is a phoneme of some language,3,"['phone', 'speech_sound', 'sound']",n,0,0,0,1,0
69,phone,phone.n.02,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml",phonetics an individual sound unit of speech without concern as to whether or not it is a phoneme of some language,3,"['phone', 'speech_sound', 'sound']",n,0,0,0,1,0
70,phone,telephone.n.01,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml",electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,3,"['telephone', 'phone', 'telephone_set']",n,1,1,1,0,1
71,phone,telephone.n.01,n,1985,WSE,broadened sense,"mobile phone, a private device",electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,3,"['telephone', 'phone', 'telephone_set']",n,0,0,0,1,0
72,racism,racism.n.01,n,1903,WSE,new  sense,,the prejudice that members of one race are intrinsically superior to members of other races,1,['racism'],n,0,0,0,1,0
73,racism,racism.n.02,n,1903,WSE,new  sense,,discriminatory or abusive behavior towards members of another race,3,"['racism', 'racialism', 'racial_discrimination']",n,0,0,0,1,0
74,record,criminal_record.n.01,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",a list of crimes for which an accused person has been previously convicted,2,"['criminal_record', 'record']",n,0,0,0,1,0
75,record,criminal_record.n.01,n,1980,WSE,broadened sense,digital recording- minidisc,a list of crimes for which an accused person has been previously convicted,2,"['criminal_record', 'record']",n,0,0,0,1,0
76,record,phonograph_record.n.01,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove,6,"['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']",n,1,1,1,0,1
78,record,phonograph_record.n.01,n,1980,WSE,broadened sense,digital recording- minidisc,sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove,6,"['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']",n,0,0,0,1,0
80,record,record.n.01,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",anything such as a document or a phonograph record or a photograph providing permanent evidence of or information about past events,1,['record'],n,0,1,1,0,1
81,record,record.n.01,n,1980,WSE,broadened sense,digital recording- minidisc,anything such as a document or a phonograph record or a photograph providing permanent evidence of or information about past events,1,['record'],n,0,0,0,1,0
82,record,record.n.03,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",the number of wins versus losses and ties a team has had,1,['record'],n,0,0,0,1,0
83,record,record.n.03,n,1980,WSE,broadened sense,digital recording- minidisc,the number of wins versus losses and ties a team has had,1,['record'],n,0,0,0,1,0
84,record,record.n.04,n,1980,WSE,broadened sense,digital recording- minidisc,the sum of recognized accomplishments,2,"['record', 'track_record']",n,0,0,0,1,0
85,record,record.n.04,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",the sum of recognized accomplishments,2,"['record', 'track_record']",n,0,0,0,1,0
86,record,record.n.05,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",a compilation of the known facts regarding something or someone,3,"['record', 'record_book', 'book']",n,0,0,0,1,0
87,record,record.n.05,n,1980,WSE,broadened sense,digital recording- minidisc,a compilation of the known facts regarding something or someone,3,"['record', 'record_book', 'book']",n,0,0,0,1,0
88,record,record.n.06,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",an extreme attainment the best or worst performance ever attested as in a sport,1,['record'],n,0,0,0,1,0
89,record,record.n.06,n,1980,WSE,broadened sense,digital recording- minidisc,an extreme attainment the best or worst performance ever attested as in a sport,1,['record'],n,0,0,0,1,0
90,record,record.n.07,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction",a document that can serve as legal evidence of a transaction,1,['record'],n,0,0,0,1,0
91,record,record.n.07,n,1980,WSE,broadened sense,digital recording- minidisc,a document that can serve as legal evidence of a transaction,1,['record'],n,0,0,0,1,0
92,rock,rock_'n'_roll.n.01,n,1955,WSE,new sense,1950-1960 birth of rock music,a genre of popular music originating in the 1950s a blend of black rhythmandblues with white countryandwestern,6,"[""rock_'n'_roll"", ""rock'n'roll"", 'rock-and-roll', 'rock_and_roll', 'rock', 'rock_music']",n,1,1,1,0,1
93,rock,rock_candy.n.01,n,1955,WSE,new sense,1950-1960 birth of rock music,hard brightcolored stick candy typically flavored with peppermint,2,"['rock_candy', 'rock']",n,0,1,0,1,0
94,rock,rock.n.01,n,1955,WSE,new sense,1950-1960 birth of rock music,a lump or mass of hard consolidated mineral matter,2,"['rock', 'stone']",n,0,0,0,1,0
95,rock,rock.n.02,n,1955,WSE,new sense,1950-1960 birth of rock music,material consisting of the aggregate of minerals like those making up the Earths crust,2,"['rock', 'stone']",n,0,0,0,1,0
96,rock,rock.n.03,n,1955,WSE,new sense,1950-1960 birth of rock music,United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill 18901984,2,"['Rock', 'John_Rock']",n,0,0,0,1,0
97,rock,rock.n.04,n,1955,WSE,new sense,1950-1960 birth of rock music,figurative someone who is strong and stable and dependable,1,['rock'],n,0,0,0,1,0
98,rock,rock.n.07,n,1955,WSE,new sense,1950-1960 birth of rock music,pitching dangerously to one side,4,"['rock', 'careen', 'sway', 'tilt']",n,0,0,0,1,0
99,tank,cooler.n.03,n,1916,WSE,new sense,first tank in battle,a cell for violent prisoners,2,"['cooler', 'tank']",n,0,0,0,1,0
100,tank,tank_car.n.01,n,1916,WSE,new sense,first tank in battle,a freight car that transports liquids or gases in bulk,2,"['tank_car', 'tank']",n,0,0,0,1,0
101,tank,tank.n.01,n,1916,WSE,new sense,first tank in battle,an enclosed armored military vehicle has a cannon and moves on caterpillar treads,4,"['tank', 'army_tank', 'armored_combat_vehicle', 'armoured_combat_vehicle']",n,1,1,1,0,1
102,tank,tank.n.02,n,1916,WSE,new sense,first tank in battle,a large usually metallic vessel for holding gases or liquids,2,"['tank', 'storage_tank']",n,0,0,0,1,0
103,tank,tank.n.03,n,1916,WSE,new sense,first tank in battle,as much as a tank will hold,2,"['tank', 'tankful']",n,0,0,0,1,0
104,tape,magnetic_tape.n.01,n,1960,WSE,new related sense,common household use of the magnetic tape,memory device consisting of a long thin plastic strip coated with iron oxide used to record audio or video signals or to store computer information,3,"['magnetic_tape', 'mag_tape', 'tape']",n,0,1,1,0,1
105,tape,tape.n.01,n,1960,WSE,new related sense,common household use of the magnetic tape,a long thin piece of cloth or paper as used for binding or fastening,1,['tape'],n,1,0,0,1,0
106,tape,tape.n.02,n,1960,WSE,new related sense,common household use of the magnetic tape,a recording made on magnetic tape,3,"['tape', 'tape_recording', 'taping']",n,0,1,1,0,1
107,tape,tape.n.03,n,1960,WSE,new related sense,common household use of the magnetic tape,the finishing line for a foot race,1,['tape'],n,0,0,0,1,0
108,tape,tape.n.04,n,1960,WSE,new related sense,common household use of the magnetic tape,measuring instrument consisting of a narrow strip cloth or metal marked in inches or centimeters and used for measuring lengths,3,"['tape', 'tapeline', 'tape_measure']",n,0,0,0,1,0
109,telephone,telephone.n.01,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml",electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,3,"['telephone', 'phone', 'telephone_set']",n,1,1,1,0,1
110,telephone,telephone.n.01,n,1876,WSE,new sense,"Alexander Graham Bell makes the world's first long distance telephone call, about 6 miles between Brantford and Paris, Ontario, Canada.",electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,3,"['telephone', 'phone', 'telephone_set']",n,0,0,0,1,0
111,telephone,telephone.n.01,n,1985,WSE,broadened sense,"mobile phone, a private device",electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,3,"['telephone', 'phone', 'telephone_set']",n,0,0,0,1,0
112,telephone,telephone.n.02,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml",transmitting speech at a distance,2,"['telephone', 'telephony']",n,1,1,1,0,1
113,telephone,telephone.n.02,n,1985,WSE,broadened sense,"mobile phone, a private device",transmitting speech at a distance,2,"['telephone', 'telephony']",n,0,0,0,1,0
114,telephone,telephone.n.02,n,1876,WSE,new sense,"Alexander Graham Bell makes the world's first long distance telephone call, about 6 miles between Brantford and Paris, Ontario, Canada.",transmitting speech at a distance,2,"['telephone', 'telephony']",n,0,1,0,1,0
115,train,caravan.n.01,n,1863,WSE,broadened sense,london subway,a procession of wagons or mules or camels traveling together in single file,3,"['caravan', 'train', 'wagon_train']",n,0,0,0,1,0
116,train,caravan.n.01,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive.",a procession of wagons or mules or camels traveling together in single file,3,"['caravan', 'train', 'wagon_train']",n,1,0,0,1,0
117,train,gearing.n.01,n,1863,WSE,broadened sense,london subway,wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed,5,"['gearing', 'gear', 'geartrain', 'power_train', 'train']",n,0,0,0,1,0
118,train,gearing.n.01,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive.",wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed,5,"['gearing', 'gear', 'geartrain', 'power_train', 'train']",n,0,0,0,1,0
119,train,string.n.04,n,1863,WSE,broadened sense,london subway,a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding,2,"['string', 'train']",n,0,0,0,1,0
120,train,string.n.04,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive.",a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding,2,"['string', 'train']",n,0,0,0,1,0
121,train,train.n.01,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive.",public transport provided by a line of railway cars coupled together and drawn by a locomotive,2,"['train', 'railroad_train']",n,1,1,1,0,1
122,train,train.n.01,n,1863,WSE,broadened sense,london subway,public transport provided by a line of railway cars coupled together and drawn by a locomotive,2,"['train', 'railroad_train']",n,1,0,0,1,0
123,train,train.n.04,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive.",a series of consequences wrought by an event,1,['train'],n,0,0,0,1,0
124,train,train.n.04,n,1863,WSE,broadened sense,london subway,a series of consequences wrought by an event,1,['train'],n,0,0,0,1,0
125,train,train.n.05,n,1863,WSE,broadened sense,london subway,piece of cloth forming the long back section of a gown that is drawn along the floor,1,['train'],n,0,0,0,1,0
126,train,train.n.05,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive.",piece of cloth forming the long back section of a gown that is drawn along the floor,1,['train'],n,0,0,0,1,0
127,travel,travel.v.01,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/",change location move travel or proceed also metaphorically,4,"['travel', 'go', 'move', 'locomote']",v,0,0,0,1,0
128,travel,travel.v.02,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/",undertake a journey or trip,2,"['travel', 'journey']",v,1,0,1,0,1
129,travel,travel.v.03,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/",make a trip for pleasure,3,"['travel', 'trip', 'jaunt']",v,1,1,1,0,1
130,travel,travel.v.04,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/",travel upon or across,2,"['travel', 'journey']",v,1,0,1,0,1
131,travel,travel.v.05,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/",undergo transportation as in a vehicle,1,['travel'],v,0,0,0,1,0
132,travel,travel.v.06,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/",travel from place to place as for the purpose of finding work preaching or acting as a judge,2,"['travel', 'move_around']",v,0,1,0,1,0
