"","target","synset","pos","t","gold","X","ref","synset_def","synset_size","synset_words","wn_pos","prov","comments","explanation"
"1","aeroplane","airplane.n.01","n",1905,0,22,"plane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","new sense","introduction of airoplane"
"2","aeroplane","airplane.n.01","n",1905,0,19,"airplane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","new sense","introduction of airoplane"
"3","aeroplane","airplane.n.01","n",1914,0,20,"plane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","used as a weapon first time"
"4","aeroplane","airplane.n.01","n",1914,0,17,"airplane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","used as a weapon first time"
"5","aeroplane","airplane.n.01","n",1919,0,21,"plane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia"
"6","aeroplane","airplane.n.01","n",1919,0,18,"airplane","an aircraft that has a fixed wing and is powered by propellers or jets",3,"airplane/aeroplane/plane","n","WSE","broadened sense","type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia"
"7","automobile","car.n.01","n",1886,0,23,"car","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"8","automobile","car.n.01","n",1886,0,24,"auto","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"9","automobile","car.n.01","n",1886,0,26,"motorcar","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"10","automobile","car.n.01","n",1886,0,25,"machine","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","new sense","introduction of the modern automobile"
"11","bitch","cunt.n.01","n",1970,1,27,"cunt","a person /usually but not necessarily a woman/ who is thoroughly disliked",2,"cunt/bitch","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"12","bitch","gripe.n.01","n",1970,0,28,"gripe","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"13","bitch","gripe.n.01","n",1970,0,29,"kick","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"14","bitch","gripe.n.01","n",1970,0,31,"squawk","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"15","bitch","gripe.n.01","n",1970,0,30,"beef","informal terms for objecting",5,"gripe/kick/beef/bitch/squawk","n","WSE","new related sense","By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
"16","camera","camera.n.01","n",1826,1,33,"photographic_camera","equipment for taking photographs /usually consisting of a lightproof box with a lens at one end and light/sensitive film at the other/",2,"camera/photographic_camera","n","WSE","new related sense","The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce"
"17","camera","camera.n.01","n",1975,0,32,"photographic_camera","equipment for taking photographs /usually consisting of a lightproof box with a lens at one end and light/sensitive film at the other/",2,"camera/photographic_camera","n","WSE","broadened sense","digital camera"
"18","camera","television_camera.n.01","n",1826,0,35,"television_camera","television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam",3,"television_camera/tv_camera/camera","n","WSE","new related sense","The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce"
"19","camera","television_camera.n.01","n",1826,0,37,"tv_camera","television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam",3,"television_camera/tv_camera/camera","n","WSE","new related sense","The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce"
"20","camera","television_camera.n.01","n",1975,0,36,"tv_camera","television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam",3,"television_camera/tv_camera/camera","n","WSE","broadened sense","digital camera"
"21","camera","television_camera.n.01","n",1975,0,34,"television_camera","television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam",3,"television_camera/tv_camera/camera","n","WSE","broadened sense","digital camera"
"22","car","cable_car.n.01","n",1895,0,47,"cable_car","a conveyance for passengers or freight on a cable railway",2,"cable_car/car","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"23","car","car.n.01","n",1895,1,41,"motorcar","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"24","car","car.n.01","n",1895,1,40,"machine","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"25","car","car.n.01","n",1895,1,39,"automobile","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"26","car","car.n.01","n",1895,1,38,"auto","a motor vehicle with four wheels/ usually propelled by an internal combustion engine",5,"car/auto/automobile/machine/motorcar","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"27","car","car.n.02","n",1895,0,43,"railway_car","a wheeled vehicle adapted to the rails of railroad",4,"car/railcar/railway_car/railroad_car","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"28","car","car.n.02","n",1895,0,42,"railcar","a wheeled vehicle adapted to the rails of railroad",4,"car/railcar/railway_car/railroad_car","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"29","car","car.n.02","n",1895,0,44,"railroad_car","a wheeled vehicle adapted to the rails of railroad",4,"car/railcar/railway_car/railroad_car","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"30","car","car.n.03","n",1895,0,45,"gondola","the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant",2,"car/gondola","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"31","car","car.n.04","n",1895,0,46,"elevator_car","where passengers ride up and down",2,"car/elevator_car","n","WSE","broadened sense","introduction of the modern automobile, the word used for an automobile"
"32","cinema","cinema.n.02","n",1900,0,50,"movie_theater","a theater where films are shown",5,"cinema/movie_theater/movie_theatre/movie_house/picture_palace","n","WSE","new sense",""
"33","cinema","cinema.n.02","n",1900,0,51,"movie_theatre","a theater where films are shown",5,"cinema/movie_theater/movie_theatre/movie_house/picture_palace","n","WSE","new sense",""
"34","cinema","cinema.n.02","n",1900,0,52,"movie_house","a theater where films are shown",5,"cinema/movie_theater/movie_theatre/movie_house/picture_palace","n","WSE","new sense",""
"35","cinema","cinema.n.02","n",1900,0,53,"picture_palace","a theater where films are shown",5,"cinema/movie_theater/movie_theatre/movie_house/picture_palace","n","WSE","new sense",""
"36","cinema","film.n.02","n",1900,0,48,"film","a medium that disseminates moving pictures",3,"film/cinema/celluloid","n","WSE","new sense",""
"37","cinema","film.n.02","n",1900,0,49,"celluloid","a medium that disseminates moving pictures",3,"film/cinema/celluloid","n","WSE","new sense",""
"38","computer","calculator.n.01","n",1940,0,81,"reckoner","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"39","computer","calculator.n.01","n",1940,0,89,"estimator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"40","computer","calculator.n.01","n",1940,0,77,"calculator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"41","computer","calculator.n.01","n",1940,0,85,"figurer","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"42","computer","calculator.n.01","n",1960,0,82,"figurer","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"43","computer","calculator.n.01","n",1960,0,74,"calculator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"44","computer","calculator.n.01","n",1960,0,86,"estimator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"45","computer","calculator.n.01","n",1960,0,78,"reckoner","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"46","computer","calculator.n.01","n",1970,0,83,"figurer","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"47","computer","calculator.n.01","n",1970,0,75,"calculator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"48","computer","calculator.n.01","n",1970,0,87,"estimator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"49","computer","calculator.n.01","n",1970,0,79,"reckoner","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"50","computer","calculator.n.01","n",1990,0,80,"reckoner","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"51","computer","calculator.n.01","n",1990,0,84,"figurer","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"52","computer","calculator.n.01","n",1990,0,76,"calculator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"53","computer","calculator.n.01","n",1990,0,88,"estimator","an expert at calculation /or at operating calculating machines/",5,"calculator/reckoner/figurer/estimator/computer","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"54","computer","computer.n.01","n",1940,1,57,"computing_machine","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"55","computer","computer.n.01","n",1940,1,65,"data_processor","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"56","computer","computer.n.01","n",1940,1,73,"information_processing_system","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"57","computer","computer.n.01","n",1940,1,61,"computing_device","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"58","computer","computer.n.01","n",1940,1,69,"electronic_computer","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","new sense","The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
"59","computer","computer.n.01","n",1960,1,54,"computing_machine","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"60","computer","computer.n.01","n",1960,1,66,"electronic_computer","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"61","computer","computer.n.01","n",1960,1,58,"computing_device","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"62","computer","computer.n.01","n",1960,1,70,"information_processing_system","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"63","computer","computer.n.01","n",1960,1,62,"data_processor","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
"64","computer","computer.n.01","n",1970,0,55,"computing_machine","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"65","computer","computer.n.01","n",1970,0,71,"information_processing_system","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"66","computer","computer.n.01","n",1970,0,63,"data_processor","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"67","computer","computer.n.01","n",1970,0,59,"computing_device","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"68","computer","computer.n.01","n",1970,0,67,"electronic_computer","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","computers used for word processing: http://www.bbc.com/news/magazine-23509153"
"69","computer","computer.n.01","n",1990,0,56,"computing_machine","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"70","computer","computer.n.01","n",1990,0,68,"electronic_computer","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"71","computer","computer.n.01","n",1990,0,60,"computing_device","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"72","computer","computer.n.01","n",1990,0,72,"information_processing_system","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"73","computer","computer.n.01","n",1990,0,64,"data_processor","a machine for performing calculations automatically",6,"computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system","n","WSE","broadened sense","personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html"
"74","cool","cool.s.02","adj",1964,1,1,"coolheaded","marked by calm self/control /especially in trying circumstances// unemotional",3,"cool/coolheaded/nerveless","s","WSE","new related sense","a way of being"
"75","cool","cool.s.02","adj",1964,1,2,"nerveless","marked by calm self/control /especially in trying circumstances// unemotional",3,"cool/coolheaded/nerveless","s","WSE","new related sense","a way of being"
"76","flight","escape.n.01","n",1918,0,93,"escape","the act of escaping physically",2,"escape/flight","n","WSE","new related sense","after WWI Commercial aviation grows rapidly"
"77","flight","flight.n.02","n",1918,1,90,"flying","an instance of traveling by air",2,"flight/flying","n","WSE","new related sense","after WWI Commercial aviation grows rapidly"
"78","flight","flight.n.03","n",1918,0,91,"flight_of_stairs","a stairway /set of steps/ between one floor or landing and the next",3,"flight/flight_of_stairs/flight_of_steps","n","WSE","new related sense","after WWI Commercial aviation grows rapidly"
"79","flight","flight.n.03","n",1918,0,92,"flight_of_steps","a stairway /set of steps/ between one floor or landing and the next",3,"flight/flight_of_stairs/flight_of_steps","n","WSE","new related sense","after WWI Commercial aviation grows rapidly"
"80","flight","trajectory.n.01","n",1918,0,94,"trajectory","the path followed by an object moving through space",2,"trajectory/flight","n","WSE","new related sense","after WWI Commercial aviation grows rapidly"
"81","gay","brave.s.03","adj",1985,0,10,"brave","brightly colored and showy",3,"brave/braw/gay","s","WSE","new sense","Recommended for use instead of homosexual"
"82","gay","brave.s.03","adj",1985,0,11,"braw","brightly colored and showy",3,"brave/braw/gay","s","WSE","new sense","Recommended for use instead of homosexual"
"83","gay","cheery.s.01","adj",1985,0,4,"sunny","bright and pleasant/ promoting a feeling of cheer",3,"cheery/gay/sunny","s","WSE","new sense","Recommended for use instead of homosexual"
"84","gay","cheery.s.01","adj",1985,0,3,"cheery","bright and pleasant/ promoting a feeling of cheer",3,"cheery/gay/sunny","s","WSE","new sense","Recommended for use instead of homosexual"
"85","gay","gay.s.02","adj",1985,0,5,"jocund","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s","WSE","new sense","Recommended for use instead of homosexual"
"86","gay","gay.s.02","adj",1985,0,9,"mirthful","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s","WSE","new sense","Recommended for use instead of homosexual"
"87","gay","gay.s.02","adj",1985,0,6,"jolly","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s","WSE","new sense","Recommended for use instead of homosexual"
"88","gay","gay.s.02","adj",1985,0,8,"merry","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s","WSE","new sense","Recommended for use instead of homosexual"
"89","gay","gay.s.02","adj",1985,0,7,"jovial","full of or showing high/spirited merriment",6,"gay/jocund/jolly/jovial/merry/mirthful","s","WSE","new sense","Recommended for use instead of homosexual"
"90","gay","gay.s.05","adj",1985,0,14,"merry","offering fun and gaiety",4,"gay/festal/festive/merry","s","WSE","new sense","Recommended for use instead of homosexual"
"91","gay","gay.s.05","adj",1985,0,12,"festal","offering fun and gaiety",4,"gay/festal/festive/merry","s","WSE","new sense","Recommended for use instead of homosexual"
"92","gay","gay.s.05","adj",1985,0,13,"festive","offering fun and gaiety",4,"gay/festal/festive/merry","s","WSE","new sense","Recommended for use instead of homosexual"
"93","gay","gay.s.06","adj",1985,1,16,"homophile","homosexual or arousing homosexual desires",3,"gay/queer/homophile","s","WSE","new sense","Recommended for use instead of homosexual"
"94","gay","gay.s.06","adj",1985,1,15,"queer","homosexual or arousing homosexual desires",3,"gay/queer/homophile","s","WSE","new sense","Recommended for use instead of homosexual"
"95","internet","internet.n.01","n",1974,0,96,"net","a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange",3,"internet/net/cyberspace","n","WSE","new sense","...In December 1974, RFC 675 – Specification of Internet Transmission Control Program, by Vinton Cerf, Yogen Dalal, and Carl Sunshine, used the term internet as a shorthand for internetworking http://en.wikipedia.org/wiki/Internet#History"
"96","internet","internet.n.01","n",1974,0,98,"cyberspace","a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange",3,"internet/net/cyberspace","n","WSE","new sense","...In December 1974, RFC 675 – Specification of Internet Transmission Control Program, by Vinton Cerf, Yogen Dalal, and Carl Sunshine, used the term internet as a shorthand for internetworking http://en.wikipedia.org/wiki/Internet#History"
"97","internet","internet.n.01","n",1995,1,95,"net","a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange",3,"internet/net/cyberspace","n","WSE","broadened sense","Used by common peopel ""The Internet was fully commercialized in the U.S. by 1995, …"" http://en.wikipedia.org/wiki/Internet#History *accept new path because no previous sense was found."
"98","internet","internet.n.01","n",1995,1,97,"cyberspace","a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange",3,"internet/net/cyberspace","n","WSE","broadened sense","Used by common peopel ""The Internet was fully commercialized in the U.S. by 1995, …"" http://en.wikipedia.org/wiki/Internet#History *accept new path because no previous sense was found."
"99","mail","chain_mail.n.01","n",1990,0,103,"chain_mail","/Middle Ages/ flexible armor made of interlinked metal rings",7,"chain_mail/ring_mail/mail/chain_armor/chain_armour/ring_armor/ring_armour","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"100","mail","chain_mail.n.01","n",1990,0,104,"ring_mail","/Middle Ages/ flexible armor made of interlinked metal rings",7,"chain_mail/ring_mail/mail/chain_armor/chain_armour/ring_armor/ring_armour","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"101","mail","chain_mail.n.01","n",1990,0,105,"chain_armor","/Middle Ages/ flexible armor made of interlinked metal rings",7,"chain_mail/ring_mail/mail/chain_armor/chain_armour/ring_armor/ring_armour","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"102","mail","chain_mail.n.01","n",1990,0,106,"chain_armour","/Middle Ages/ flexible armor made of interlinked metal rings",7,"chain_mail/ring_mail/mail/chain_armor/chain_armour/ring_armor/ring_armour","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"103","mail","chain_mail.n.01","n",1990,0,107,"ring_armor","/Middle Ages/ flexible armor made of interlinked metal rings",7,"chain_mail/ring_mail/mail/chain_armor/chain_armour/ring_armor/ring_armour","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"104","mail","chain_mail.n.01","n",1990,0,108,"ring_armour","/Middle Ages/ flexible armor made of interlinked metal rings",7,"chain_mail/ring_mail/mail/chain_armor/chain_armour/ring_armor/ring_armour","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"105","mail","mail.n.02","n",1990,0,101,"post","the system whereby messages are transmitted via the post office",4,"mail/mail_service/postal_service/post","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"106","mail","mail.n.02","n",1990,0,99,"mail_service","the system whereby messages are transmitted via the post office",4,"mail/mail_service/postal_service/post","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
"107","mail","mail.n.02","n",1990,0,100,"postal_service","the system whereby messages are transmitted via the post office",4,"mail/mail_service/postal_service/post","n","WSE","broadened sense","Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
