target,pos,t,prov,comments,explanation
aeroplane,n,1914,WSE,broadened sense,used as a weapon first time
aeroplane,n,1919,WSE,broadened sense,type of common transportation: the first international commercial flights took place between the United States and Canada in 1919 wikipedia
aeroplane,n,1905,WSE,new sense,introduction of airoplane
automobile,n,1886,WSE,new sense,introduction of the modern automobile
bitch,n,1970,WSE,new related sense,"By 1974, Elton John had a hit single (#4 in the U.S. and #14 in the U.K.) with ""The Bitch Is Back"", in which he says ""bitch"" repeatedly."
camera,n,1975,WSE,broadened sense,digital camera
camera,n,1826,WSE,new related sense,The first permanent photograph of a camera image was made in 1826 by Joseph Nicéphore Niépce
car,n,1895,WSE,broadened sense,"introduction of the modern automobile, the word used for an automobile"
cinema,n,1900,WSE,new sense,
computer,n,1960,WSE,broadened sense,"computers used for practical calculations: http://www.bbc.com/news/magazine-23509153 * because we could not find the previous sense, we accept a new path as a broadening event"
computer,n,1970,WSE,broadened sense,computers used for word processing: http://www.bbc.com/news/magazine-23509153
computer,n,1990,WSE,broadened sense,personal computer boom http://www.nytimes.com/1994/08/30/business/market-place-the-booming-personal-computer-industry-defies-economic-gravity.html
computer,n,1940,WSE,new sense,"The first computer devices were conceived of in the 19th century, and only emerged in their modern form in the 1940s."
cool,adj,1964,WSE,new related sense,a way of being
flight,n,1918,WSE,new related sense,after WWI Commercial aviation grows rapidly
gay,adj,1985,WSE,new sense,Recommended for use instead of homosexual
internet,n,1995,WSE,broadened sense,"Used by common peopel ""The Internet was fully commercialized in the U.S. by 1995, …"" http://en.wikipedia.org/wiki/Internet#History *accept new path because no previous sense was found."
internet,n,1974,WSE,new sense,"...In December 1974, RFC 675 – Specification of Internet Transmission Control Program, by Vinton Cerf, Yogen Dalal, and Carl Sunshine, used the term internet as a shorthand for internetworking http://en.wikipedia.org/wiki/Internet#History"
mail,n,1990,WSE,broadened sense,"Electronic mail, most commonly referred to as email or e-mail since ca. 1993"
memory,n,1960,WSE,new related sense,digital memory
mouse,n,1965,WSE,new related sense,The computer mouse was introduced
phone,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml"
phone,n,1985,WSE,broadened sense,"mobile phone, a private device"
racism,n,1903,WSE,new  sense,
record,n,1980,WSE,broadened sense,digital recording- minidisc
record,n,1920,WSE,new related sense,"electrical recording: Several record companies and independent inventors, notably Orlando Marsh, were experimenting with equipment and techniques for electrical recording in the early 1920s. Marsh's electrically recorded Autograph Records were already being sold to the public in 1924; http://en.wikipedia.org/wiki/Sound_recording_and_reproduction"
rock,n,1955,WSE,new sense,1950-1960 birth of rock music
tank,n,1916,WSE,new sense,first tank in battle
tape,n,1960,WSE,new related sense,common household use of the magnetic tape
telephone,n,1881,WSE,broadened sense,"first used for communication outside a test environment, http://www.elon.edu/e-web/predictions/150/1870.xhtml"
telephone,n,1985,WSE,broadened sense,"mobile phone, a private device"
telephone,n,1876,WSE,new sense,"Alexander Graham Bell makes the world's first long distance telephone call, about 6 miles between Brantford and Paris, Ontario, Canada."
train,n,1863,WSE,broadened sense,london subway
train,n,1814,WSE,new related sense,"A number of railway carriages, vans, or trucks coupled together, with or without a locomotive."
travel,v,1875,WSE,broadened sense,"worker's holidays, also normal people travel http://www.history.uk.com/history/history-british-tourism-british-tou/"