"","ref","target","X","synset","t","pos","prov","comments","synset_size","synset_words","wn_pos","gold","freq.x","freq.y","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"1","armored_combat_vehicle","tank","171","tank.n.01","1916","n","WSE","new sense","4","['tank', 'army_tank', 'armored_combat_vehicle', 'armoured_combat_vehicle']","n","1","117082",NA,"1","1","4","1",NA,NA,NA,NA
"2","armoured_combat_vehicle","tank","172","tank.n.01","1916","n","WSE","new sense","4","['tank', 'army_tank', 'armored_combat_vehicle', 'armoured_combat_vehicle']","n","1","117082",NA,"1","1","4","1",NA,NA,NA,NA
"3","army_tank","tank","170","tank.n.01","1916","n","WSE","new sense","4","['tank', 'army_tank', 'armored_combat_vehicle', 'armoured_combat_vehicle']","n","1","117082",NA,"1","1","4","1",NA,NA,NA,NA
"4","auto","car","23","car.n.01","1895","n","WSE","broadened sense","5","['car', 'auto', 'automobile', 'machine', 'motorcar']","n","1","1460447.5","52922.5","1","1","5","1",NA,NA,NA,NA
"5","automobile","car","24","car.n.01","1895","n","WSE","broadened sense","5","['car', 'auto', 'automobile', 'machine', 'motorcar']","n","1","1460447.5","117877","1","1","5","1","1","0","0.156174927113702","0.657142857142857"
"6","computer_memory","memory","113","memory.n.04","1960","n","WSE","new related sense","6","['memory', 'computer_memory', 'storage', 'computer_storage', 'store', 'memory_board']","n","1","1240597",NA,"4","1","5","1",NA,NA,NA,NA
"7","computer_mouse","mouse","118","mouse.n.04","1965","n","WSE","new related sense","2","['mouse', 'computer_mouse']","n","1","326572",NA,"4","1","3","1",NA,NA,NA,NA
"8","computer_storage","memory","115","memory.n.04","1960","n","WSE","new related sense","6","['memory', 'computer_memory', 'storage', 'computer_storage', 'store', 'memory_board']","n","1","1240597",NA,"4","1","5","1",NA,NA,NA,NA
"9","computing_device","computer","55","computer.n.01","1940","n","WSE","new sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"10","computing_device","computer","60","computer.n.01","1960","n","WSE","broadened sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"11","computing_machine","computer","54","computer.n.01","1940","n","WSE","new sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"12","computing_machine","computer","59","computer.n.01","1960","n","WSE","broadened sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"13","coolheaded","cool","74","cool.s.02","1964","adj","WSE","new related sense","3","['cool', 'coolheaded', 'nerveless']","s","1","282271",NA,"7","1","2","1",NA,NA,NA,NA
"14","cunt","bitch","11","cunt.n.01","1970","n","WSE","new related sense","2","['cunt', 'bitch']","n","1","75739.5","889.5","2","1","3","2",NA,NA,NA,NA
"15","cyberspace","internet","98","internet.n.01","1995","n","WSE","broadened sense","3","['internet', 'net', 'cyberspace']","n","1","414055","5338.5","1","1","1","1",NA,NA,NA,NA
"16","data_processor","computer","61","computer.n.01","1960","n","WSE","broadened sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"17","data_processor","computer","56","computer.n.01","1940","n","WSE","new sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"18","disc","record","142","phonograph_record.n.01","1920","n","WSE","new related sense","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","69069.5","2","1","6","4",NA,NA,NA,NA
"19","disk","record","141","phonograph_record.n.01","1920","n","WSE","new related sense","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","358551.5","2","3","6","2",NA,NA,NA,NA
"20","electronic_computer","computer","57","computer.n.01","1940","n","WSE","new sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"21","electronic_computer","computer","62","computer.n.01","1960","n","WSE","broadened sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"22","flying","flight","77","flight.n.02","1918","n","WSE","new related sense","2","['flight', 'flying']","n","1","314797.5","158832","2","1","6","5","1","0","0.864689784626204","0.0666666666666667"
"23","homophile","gay","94","gay.s.06","1985","adj","WSE","new sense","3","['gay', 'queer', 'homophile']","s","1","312219","336.5","7","2","3","1",NA,NA,NA,NA
"24","information_processing_system","computer","63","computer.n.01","1960","n","WSE","broadened sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"25","information_processing_system","computer","58","computer.n.01","1940","n","WSE","new sense","6","['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']","n","1","1687445",NA,"1","1","2","1",NA,NA,NA,NA
"26","jaunt","travel","211","travel.v.03","1875","v","WSE","broadened sense","3","['travel', 'trip', 'jaunt']","v","1","522546","544","6","2","4","1",NA,NA,NA,NA
"27","journey","travel","209","travel.v.02","1875","v","WSE","broadened sense","2","['travel', 'journey']","v","1","522546","457687.5","5","2","4","1","0","0","0.816628040676086","-0.0714285714285714"
"28","journey","travel","212","travel.v.04","1875","v","WSE","broadened sense","2","['travel', 'journey']","v","1","522546","457687.5","7","3","4","1","0","0","0.816628040676086","-0.0714285714285714"
"29","machine","car","25","car.n.01","1895","n","WSE","broadened sense","5","['car', 'auto', 'automobile', 'machine', 'motorcar']","n","1","1460447.5","664252.5","1","6","5","4","0","0","0.150901499292486","-0.463636363636364"
"30","mag_tape","tape","176","magnetic_tape.n.01","1960","n","WSE","new related sense","3","['magnetic_tape', 'mag_tape', 'tape']","n","1","199025.5",NA,"5","1","4","1",NA,NA,NA,NA
"31","magnetic_tape","tape","175","magnetic_tape.n.01","1960","n","WSE","new related sense","3","['magnetic_tape', 'mag_tape', 'tape']","n","1","199025.5",NA,"5","1","4","1",NA,NA,NA,NA
"32","memory_board","memory","117","memory.n.04","1960","n","WSE","new related sense","6","['memory', 'computer_memory', 'storage', 'computer_storage', 'store', 'memory_board']","n","1","1240597",NA,"4","1","5","1",NA,NA,NA,NA
"33","motorcar","car","26","car.n.01","1895","n","WSE","broadened sense","5","['car', 'auto', 'automobile', 'machine', 'motorcar']","n","1","1460447.5","145","1","1","5","1",NA,NA,NA,NA
"34","nerveless","cool","75","cool.s.02","1964","adj","WSE","new related sense","3","['cool', 'coolheaded', 'nerveless']","s","1","282271","613","7","1","2","2",NA,NA,NA,NA
"35","net","internet","97","internet.n.01","1995","n","WSE","broadened sense","3","['internet', 'net', 'cyberspace']","n","1","414055","674653","1","1","1","3",NA,NA,NA,NA
"36","phone","telephone","183","telephone.n.01","1881","n","WSE","broadened sense","3","['telephone', 'phone', 'telephone_set']","n","1","498816.5","832648.5","1","1","1","2","1","1","0.0199421261319925","0.75"
"37","phonograph_record","record","139","phonograph_record.n.01","1920","n","WSE","new related sense","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5",NA,"2","1","6","1",NA,NA,NA,NA
"38","phonograph_recording","record","140","phonograph_record.n.01","1920","n","WSE","new related sense","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5",NA,"2","1","6","1",NA,NA,NA,NA
"39","photographic_camera","camera","16","camera.n.01","1826","n","WSE","new related sense","2","['camera', 'photographic_camera']","n","1","207185",NA,"1","1","2","1",NA,NA,NA,NA
"40","platter","record","143","phonograph_record.n.01","1920","n","WSE","new related sense","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","19260","2","2","6","2",NA,NA,NA,NA
"41","queer","gay","93","gay.s.06","1985","adj","WSE","new sense","3","['gay', 'queer', 'homophile']","s","1","312219","29400.5","7","5","3","1",NA,NA,NA,NA
"42","railroad_train","train","204","train.n.01","1814","n","WSE","new related sense","2","['train', 'railroad_train']","n","1","433894",NA,"1","1","8","1",NA,NA,NA,NA
"43","rock_'n'_roll","rock","155","rock_'n'_roll.n.01","1955","n","WSE","new sense","6","[""rock_'n'_roll"", ""rock'n'roll"", 'rock-and-roll', 'rock_and_roll', 'rock', 'rock_music']","n","1","548456.5",NA,"6","1","4","1",NA,NA,NA,NA
"44","rock_and_roll","rock","158","rock_'n'_roll.n.01","1955","n","WSE","new sense","6","[""rock_'n'_roll"", ""rock'n'roll"", 'rock-and-roll', 'rock_and_roll', 'rock', 'rock_music']","n","1","548456.5",NA,"6","1","4","1",NA,NA,NA,NA
"45","rock_music","rock","159","rock_'n'_roll.n.01","1955","n","WSE","new sense","6","[""rock_'n'_roll"", ""rock'n'roll"", 'rock-and-roll', 'rock_and_roll', 'rock', 'rock_music']","n","1","548456.5",NA,"6","1","4","1",NA,NA,NA,NA
"46","rock-and-roll","rock","157","rock_'n'_roll.n.01","1955","n","WSE","new sense","6","[""rock_'n'_roll"", ""rock'n'roll"", 'rock-and-roll', 'rock_and_roll', 'rock', 'rock_music']","n","1","548456.5",NA,"6","1","4","1",NA,NA,NA,NA
"47","rock'n'roll","rock","156","rock_'n'_roll.n.01","1955","n","WSE","new sense","6","[""rock_'n'_roll"", ""rock'n'roll"", 'rock-and-roll', 'rock_and_roll', 'rock', 'rock_music']","n","1","548456.5","167.5","6","1","4","1",NA,NA,NA,NA
"48","storage","memory","114","memory.n.04","1960","n","WSE","new related sense","6","['memory', 'computer_memory', 'storage', 'computer_storage', 'store', 'memory_board']","n","1","1240597","406416","4","5","5","6",NA,NA,NA,NA
"49","store","memory","116","memory.n.04","1960","n","WSE","new related sense","6","['memory', 'computer_memory', 'storage', 'computer_storage', 'store', 'memory_board']","n","1","1240597","616444","4","3","5","3",NA,NA,NA,NA
"50","tape_recording","tape","177","tape.n.02","1960","n","WSE","new related sense","3","['tape', 'tape_recording', 'taping']","n","1","199025.5",NA,"2","1","4","1",NA,NA,NA,NA
"51","taping","tape","178","tape.n.02","1960","n","WSE","new related sense","3","['tape', 'tape_recording', 'taping']","n","1","199025.5","8200.5","2","1","4","8",NA,NA,NA,NA
"52","telephone","phone","131","telephone.n.01","1881","n","WSE","broadened sense","3","['telephone', 'phone', 'telephone_set']","n","1","832648.5","498816.5","1","1","2","1","1","1","0.0199421261319925","0.75"
"53","telephone_set","phone","132","telephone.n.01","1881","n","WSE","broadened sense","3","['telephone', 'phone', 'telephone_set']","n","1","832648.5",NA,"1","1","2","1",NA,NA,NA,NA
"54","telephone_set","telephone","184","telephone.n.01","1881","n","WSE","broadened sense","3","['telephone', 'phone', 'telephone_set']","n","1","498816.5",NA,"1","1","1","1",NA,NA,NA,NA
"55","telephony","telephone","188","telephone.n.02","1881","n","WSE","broadened sense","2","['telephone', 'telephony']","n","1","498816.5","3993.5","2","1","1","1",NA,NA,NA,NA
"56","trip","travel","210","travel.v.03","1875","v","WSE","broadened sense","3","['travel', 'trip', 'jaunt']","v","1","522546","490702","6","10","4","6","1","0","0.858504294230873","0.054945054945055"
